"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 23 19:04:13 CST 2023","Thu Feb 23 19:04:13 CST 2023","0","testcaseβ.user","test_user","TestUser","","","test_user_01[李四-456]",""
"passed","Thu Feb 23 19:04:13 CST 2023","Thu Feb 23 19:04:13 CST 2023","0","testcaseβ.user","test_user","TestUser","","","test_user_01[张三-456]",""
"passed","Thu Feb 23 19:04:13 CST 2023","Thu Feb 23 19:04:13 CST 2023","0","testcaseβ.user","test_user","TestUser","","","test_user_01[张三-789]",""
"passed","Thu Feb 23 19:04:13 CST 2023","Thu Feb 23 19:04:13 CST 2023","1","testcaseβ.user","test_user","TestUser","","","test_user_01[李四-789]",""
"passed","Thu Feb 23 19:04:13 CST 2023","Thu Feb 23 19:04:13 CST 2023","0","testcaseβ.user","test_user","TestUser","","","test_user_01[张三-123]",""
"passed","Thu Feb 23 19:04:13 CST 2023","Thu Feb 23 19:04:13 CST 2023","0","testcaseβ.user","test_user","TestUser","","","test_user_01[李四-123]",""
"passed","Thu Feb 23 19:04:13 CST 2023","Thu Feb 23 19:04:13 CST 2023","0","testcaseβ.user","test_user","TestUser","","","test_user_02",""
"passed","Thu Feb 23 19:04:13 CST 2023","Thu Feb 23 19:04:13 CST 2023","0","testcaseβ.user","test_user","TestUser","","","test_user_01[王五-456]",""
"passed","Thu Feb 23 19:04:13 CST 2023","Thu Feb 23 19:04:13 CST 2023","1","testcaseβ.user","test_user","TestUser","","","test_user_01[王五-789]",""
"passed","Thu Feb 23 19:04:13 CST 2023","Thu Feb 23 19:04:13 CST 2023","0","testcaseβ.user","test_user","TestUser","","","test_user_01[王五-123]",""
